14/07/14	39	
15/07/14	41
16/07/14	41
17/07/14	43
18/07/14	42
21/07/14	46
22/07/14	46
23/07/14	46
28/07/14	47
30/07/14	51
06/08/14	50
07/08/14	51
08/08/14	49
09/08/14	38
10/08/14	50
11/08/14	49
12/08/14	50
16/08/14	36
17/08/14	50
18/08/14	47
19/08/14	49
20/08/14	47
21/08/14	34
22/08/14	31
23/08/14	32
24/08/14	45
25/08/14	47
26/08/14	49
27/08/14	52
28/08/14	46
29/08/14	44
30/08/14	45
31/08/14	52
01/09/14	52
02/09/14	50
03/09/14	53
05/09/14	48
06/09/14	49
07/09/14	55
09/09/14	54
10/09/14	0
10/09/14	0
